iter	Passed	Remaining
455	837	999
456	839	996
457	840	994
458	841	991
459	842	989
460	844	986
461	845	984
462	846	981
463	847	979
464	848	976
465	850	974
466	851	971
467	852	969
468	853	966
469	855	964
470	856	961
471	857	959
472	858	956
473	860	954
474	861	951
475	862	949
476	863	947
477	865	944
478	866	942
479	867	940
480	869	937
481	870	935
482	871	932
483	872	930
484	874	928
485	875	926
486	877	923
487	878	921
488	879	919
489	880	916
490	882	914
491	883	912
492	884	909
493	885	907
494	886	904
495	888	902
496	889	900
497	890	897
498	891	895
499	892	892
500	894	890
501	895	888
502	896	885
503	897	883
504	898	881
505	900	878
506	901	876
507	902	874
508	904	872
509	905	870
510	906	867
511	908	865
512	909	863
513	910	861
514	912	858
515	913	856
516	914	854
517	915	852
518	917	850
519	918	847
520	919	845
521	921	843
522	922	841
523	923	839
524	925	837
525	926	834
526	927	832
527	929	830
528	930	828
529	932	826
530	933	824
531	934	822
532	936	820
533	937	818
534	938	815
535	940	813
536	941	811
537	942	809
538	944	807
539	945	805
540	946	803
541	948	801
542	949	799
543	950	796
544	951	794
545	952	792
546	953	790
547	955	787
548	956	785
549	957	783
550	958	781
551	960	779
552	961	777
553	962	775
554	963	772
555	965	770
556	966	768
557	967	766
558	968	764
559	970	762
560	971	759
561	972	757
562	973	755
563	974	753
564	975	751
565	977	749
566	978	747
567	979	745
568	980	742
569	982	740
570	983	738
571	984	736
572	985	734
573	987	732
574	988	730
575	989	728
576	990	726
577	992	724
578	993	722
579	994	720
580	995	718
581	997	716
582	998	714
583	1000	712
584	1001	710
585	1002	708
586	1003	706
587	1004	704
588	1005	701
589	1007	699
590	1008	697
591	1009	695
592	1010	693
593	1011	691
594	1013	689
595	1014	687
596	1015	685
597	1016	683
598	1017	681
599	1019	679
600	1020	677
601	1021	675
602	1022	673
603	1024	671
604	1025	669
605	1026	667
606	1027	665
607	1029	663
608	1030	661
609	1031	659
610	1032	657
611	1033	655
612	1034	653
613	1036	651
614	1037	649
615	1038	647
616	1039	645
617	1041	643
618	1042	641
619	1043	639
620	1044	637
621	1046	635
622	1047	633
623	1048	631
624	1049	629
625	1050	627
626	1052	625
627	1053	623
628	1054	622
629	1055	620
630	1057	618
631	1058	616
632	1059	614
633	1060	612
634	1062	610
635	1063	608
636	1064	606
637	1065	604
638	1066	602
639	1067	600
640	1069	598
641	1070	596
642	1071	594
643	1072	592
644	1073	591
645	1075	589
646	1076	587
647	1077	585
648	1078	583
649	1080	581
650	1081	579
651	1082	577
652	1083	575
653	1084	573
654	1086	572
655	1087	570
656	1088	568
657	1089	566
658	1091	564
659	1092	562
660	1093	560
661	1094	559
662	1096	557
663	1097	555
664	1098	553
665	1100	551
666	1101	549
667	1102	547
668	1103	546
669	1104	544
670	1106	542
671	1107	540
672	1108	538
673	1109	536
674	1110	534
675	1112	533
676	1113	531
677	1114	529
678	1115	527
679	1116	525
680	1117	523
681	1118	521
682	1120	519
683	1121	517
684	1122	516
685	1123	514
686	1124	512
687	1125	510
688	1126	508
689	1127	506
690	1129	504
691	1130	503
692	1131	501
693	1132	499
694	1133	497
695	1134	495
696	1135	493
697	1136	491
698	1138	490
699	1139	488
700	1140	486
701	1141	484
702	1142	482
703	1143	480
704	1145	479
705	1146	477
706	1147	475
707	1148	473
708	1149	471
709	1151	470
710	1152	468
711	1153	466
712	1154	464
713	1155	462
714	1156	461
715	1157	459
716	1158	457
717	1160	455
718	1161	453
719	1162	452
720	1163	450
721	1164	448
722	1165	446
723	1166	444
724	1167	443
725	1169	441
726	1170	439
727	1171	437
728	1172	435
729	1173	434
730	1174	432
731	1175	430
732	1176	428
733	1177	426
734	1179	425
735	1180	423
736	1181	421
737	1182	419
738	1183	417
739	1184	416
740	1185	414
741	1186	412
742	1187	410
743	1188	409
744	1189	407
745	1191	405
746	1192	403
747	1193	402
748	1194	400
749	1195	398
750	1196	396
751	1197	395
752	1198	393
753	1200	391
754	1201	389
755	1202	388
756	1203	386
757	1204	384
758	1205	382
759	1206	381
760	1207	379
761	1208	377
762	1210	375
763	1211	374
764	1212	372
765	1213	370
766	1214	368
767	1215	367
768	1216	365
769	1217	363
770	1219	362
771	1220	360
772	1221	358
773	1222	356
774	1223	355
775	1224	353
776	1225	351
777	1226	350
778	1227	348
779	1228	346
780	1230	344
781	1231	343
782	1232	341
783	1233	339
784	1234	338
785	1235	336
786	1236	334
787	1237	332
788	1238	331
789	1239	329
790	1241	327
791	1242	326
792	1243	324
793	1244	322
794	1245	321
795	1247	319
796	1248	317
797	1249	316
798	1250	314
799	1251	312
800	1252	311
801	1254	309
802	1255	308
803	1256	306
804	1257	304
805	1258	303
806	1260	301
807	1261	299
808	1262	298
809	1263	296
810	1264	294
811	1266	293
812	1267	291
813	1268	289
814	1269	288
815	1271	286
816	1272	285
817	1273	283
818	1275	281
819	1276	280
820	1277	278
821	1278	276
822	1280	275
823	1281	273
824	1282	272
825	1283	270
826	1285	268
827	1286	267
828	1287	265
829	1288	263
830	1289	262
831	1291	260
832	1292	259
833	1293	257
834	1294	255
835	1296	254
836	1297	252
837	1298	251
838	1299	249
839	1301	247
840	1302	246
841	1303	244
842	1304	242
843	1305	241
844	1307	239
845	1308	238
846	1309	236
847	1310	234
848	1312	233
849	1313	231
850	1314	230
851	1315	228
852	1317	227
853	1318	225
854	1319	223
855	1321	222
856	1322	220
857	1323	219
858	1324	217
859	1325	215
860	1326	214
861	1328	212
862	1329	211
863	1330	209
864	1331	207
865	1333	206
866	1334	204
867	1335	203
868	1336	201
869	1337	199
870	1339	198
871	1340	196
872	1341	195
873	1343	193
874	1344	192
875	1345	190
876	1346	188
877	1347	187
878	1348	185
879	1350	184
880	1351	182
881	1352	180
882	1353	179
883	1354	177
884	1356	176
885	1357	174
886	1358	173
887	1359	171
888	1361	169
889	1362	168
890	1363	166
891	1364	165
892	1365	163
893	1367	162
894	1368	160
895	1369	158
896	1370	157
897	1372	155
898	1373	154
899	1374	152
900	1375	151
901	1377	149
902	1378	148
903	1379	146
904	1380	144
905	1382	143
906	1383	141
907	1384	140
908	1385	138
909	1387	137
910	1388	135
911	1389	134
912	1390	132
913	1392	130
914	1393	129
915	1394	127
916	1395	126
917	1396	124
918	1398	123
919	1399	121
920	1400	120
921	1401	118
922	1402	117
923	1404	115
924	1405	113
925	1406	112
926	1407	110
927	1409	109
928	1410	107
929	1411	106
930	1412	104
931	1414	103
932	1415	101
933	1416	100
934	1418	98
935	1419	97
936	1420	95
937	1421	93
938	1423	92
939	1424	90
940	1425	89
941	1426	87
942	1428	86
943	1429	84
944	1430	83
945	1431	81
946	1432	80
947	1434	78
948	1435	77
949	1436	75
950	1437	74
951	1439	72
952	1440	71
953	1441	69
954	1442	67
955	1443	66
956	1444	64
957	1446	63
958	1447	61
959	1448	60
960	1449	58
961	1451	57
962	1452	55
963	1453	54
964	1454	52
965	1456	51
966	1457	49
967	1458	48
968	1460	46
969	1461	45
970	1462	43
971	1463	42
972	1464	40
973	1466	39
974	1467	37
975	1468	36
976	1469	34
977	1470	33
978	1472	31
979	1473	30
980	1474	28
981	1475	27
982	1476	25
983	1478	24
984	1479	22
985	1480	21
986	1481	19
987	1482	18
988	1483	16
989	1485	15
990	1486	13
991	1487	11
992	1488	10
993	1489	8
994	1491	7
995	1492	5
996	1493	4
997	1494	2
998	1495	1
999	1497	0
